Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
59,,2022-02-15,22-189,MEM,@,NOP,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,46,2022-02-16,22-190,MEM,,POR,L (-4),1,37:35,11,20,.550,1,6,.167,21,25,.840,0,5,5,11,0,1,2,3,44,39.5,+2
61,47,2022-02-24,22-198,MEM,@,MIN,L (-5),1,34:45,7,25,.280,0,4,.000,6,9,.667,3,5,8,4,2,1,3,1,20,9.8,-1
62,48,2022-02-26,22-200,MEM,@,CHI,W (+6),1,36:02,15,28,.536,3,4,.750,13,15,.867,1,3,4,3,1,0,5,2,46,30.5,+11
63,49,2022-02-28,22-202,MEM,,SAS,W (+13),1,34:20,22,30,.733,4,4,1.000,4,7,.571,1,6,7,2,0,0,4,1,52,38.1,+23
64,50,2022-03-03,22-205,MEM,@,BOS,L (-13),1,36:50,13,29,.448,4,12,.333,8,8,1.000,2,2,4,7,0,0,2,1,38,27.4,-5
65,51,2022-03-05,22-207,MEM,,ORL,W (+28),1,27:53,9,17,.529,3,6,.500,4,7,.571,0,4,4,7,1,0,3,1,25,19.2,+12
66,52,2022-03-06,22-208,MEM,@,HOU,L (-11),1,35:25,7,20,.350,0,3,.000,8,8,1.000,1,3,4,6,2,0,5,3,22,12.4,-12
67,53,2022-03-08,22-210,MEM,,NOP,W (+21),1,26:49,8,13,.615,2,4,.500,6,7,.857,1,7,8,8,2,1,2,3,24,25.6,+22
68,54,2022-03-11,22-213,MEM,,NYK,W (+4),1,37:31,14,34,.412,1,4,.250,8,10,.800,2,3,5,8,2,1,2,2,37,25.8,-3
69,55,2022-03-13,22-215,MEM,@,OKC,W (+7),1,33:20,7,14,.500,0,2,.000,3,5,.600,1,4,5,10,0,0,3,1,17,14.7,+1
70,,2022-03-15,22-217,MEM,@,IND,W (+33),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,56,2022-03-18,22-220,MEM,@,ATL,L (-15),1,33:05,11,23,.478,0,1,.000,7,9,.778,1,2,3,4,0,0,6,2,29,13.8,-11
72,,2022-03-20,22-222,MEM,@,HOU,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,,2022-03-23,22-225,MEM,,BRK,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,,2022-03-24,22-226,MEM,,IND,W (+30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
75,,2022-03-26,22-228,MEM,,MIL,W (+25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
76,,2022-03-28,22-230,MEM,,GSW,W (+28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
77,,2022-03-30,22-232,MEM,@,SAS,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
78,,2022-04-01,22-234,MEM,,PHO,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
79,,2022-04-05,22-238,MEM,@,UTA,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,,2022-04-07,22-240,MEM,@,DEN,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,57,2022-04-09,22-242,MEM,,NOP,W (+27),1,26:37,7,14,.500,2,3,.667,5,7,.714,2,2,4,9,0,1,4,2,21,17.4,+18
82,,2022-04-10,22-243,MEM,,BOS,L (-29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
