Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
50,,2022-01-28,37-029,LAL,@,CHO,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,,2022-01-30,37-031,LAL,@,ATL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,2022-02-02,37-034,LAL,,POR,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2022-02-03,37-035,LAL,@,LAC,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,37,2022-02-05,37-037,LAL,,NYK,W (+7),1,39:55,13,24,.542,2,7,.286,1,2,.500,3,10,13,10,1,0,3,3,29,25.9,+12
55,38,2022-02-08,37-040,LAL,,MIL,L (-15),1,34:31,11,19,.579,3,7,.429,2,4,.500,0,5,5,8,0,0,4,4,27,18.8,-25
56,39,2022-02-09,37-041,LAL,@,POR,L (-2),1,36:41,13,22,.591,3,7,.429,1,1,1.000,0,7,7,7,3,0,6,1,30,23.4,-5
57,40,2022-02-12,37-044,LAL,@,GSW,L (-2),1,38:21,9,27,.333,3,10,.300,5,9,.556,3,12,15,8,0,0,4,3,26,15.2,-11
58,41,2022-02-16,37-048,LAL,,UTA,W (+5),1,39:43,14,23,.609,3,8,.375,2,2,1.000,1,7,8,6,2,0,3,1,33,28.1,+7
59,42,2022-02-25,37-057,LAL,,LAC,L (-3),1,35:41,6,18,.333,2,8,.250,7,8,.875,1,10,11,3,1,1,6,1,21,11.5,-4
